語,漢字・原文,備註,發音,中文意思
あらす,荒らす,,0,破壞、使荒廢
あらすじ,粗筋,,0,概略
あらそい,争い,,"0,3",糾紛、爭論
あらそう,争う,,3,爭奪、競爭
あらた,新た,,1,重新
あらたまる,改まる,,4,改良、革新
あらためて,改めて,,3,重新、再
あらためる,改める,,4,改變、修改
あらっぽい,荒っぽい,,0,粗暴的、粗糙的
アラブ,Arab,,1,阿拉伯
あらゆる,あらゆる,,3,所有、一切
あられ,霰,,0,雪珠、霰
あらわす,表わす//現す//著す,,3,表示、表現//顯出、露出//著
あらわれ,現れ,,"0,3,4",表現、結果
あらわれる,現れる,,4,出現、被發現
ありがたい,有難い,,4,難得的、值得感謝
ありさま,有様,,"0,2",樣子、情況
ありのまま,有りの儘,,"0,5",據實
ありふれる,有触れる,,0,常見、不稀奇
ある,在る[存在],,1,在
ある,有る[所有],,1,有
ある,或る,,1,或、有、某
あるいは,或いは,,2,或是
アルカリ,alkali,オランダ語,0,鹼
あるく,歩く,,2,步行、走
アルコール,alcohol,,0,酒精
アルバイト,Arbeit,ドイツ語,3,打工
アルバム,album,,"0,1",照相簿、歌曲選紀念集(冊)
アルミ,aluminum,,0,鋁
あれ,あれ,指示詞,0,那個、那裡
あれ,あれ,感動詞,1,哎呀
あれこれ,あれこれ,,2,這個那個
あれる,荒れる,,0,荒蕪、荒廢
あわ,泡,,2,泡、沫、水花
アワー,hour,,1,時間、時刻
あわす,合わす,,2,合併、配合、調準、比較
あわせ,〜合わせ,,3,合
あわせる,合わせる//併せる,,3,合併、配合、調準、比較//把…合而為一
あわただしい,慌しい,,5,慌忙的
あわてる,慌てる,,0,驚慌
あわれ,哀れ,,1,悲哀、可憐
あん,案,,1,想法、建議、設想
あんい,安易,,"0,1",容易、估計不足
あんがい,案外,,"0,1",沒想到
あんき,暗記,,0,記住、背下來
アンケート,enquête,フランス語,"1,3",問卷調查
アンコール,encore,,3,再一次、安可
あんさつ,暗殺,,0,暗殺
あんざん,暗算,,0,心算、暗算
あんじ,暗示,,0,暗示
あんじる,案じる,,"0,3",擔心、想辦法
あんしん（する）,安心（する）,,0,安心、放心
あんせい,安静,,0,安靜
あんぜん,安全,,0,安全
あんてい,安定,,0,安定、穩定性
アンテナ,antenna,,0,天線
あんな,あんな,,0,那樣的
あんない（する）,案内（する）,,3,引導、指南
あんなに,あんなに,,0,那麼、那樣的
あんのじょう,案の定,,3,果然、正如所料
あんまり,あんまり,,"0,4",過度、過於
い,胃,,0,胃
い,〜位,,1,第〜名
い,異,,0,不同、奇異
い,意,,1,心意、意義、意思
いい//よい,良い,,1,好、合適、為好
いいえ,いいえ,,3,不、不是
いいかげん,好い加減,,0,馬虎、不徹底、相當、適當
いいだす,言い出す,,3,說出來、開始說
いいつける,言い付ける,,4,吩咐、命令、告狀、告發
いいわけ,言い訳,,0,辯解、分辯
いいん,委員,,1,委員
いいん,医院,,1,醫院、私人診所
いう,言う,,"0,2",說、訴說
いえ,家,,2,房子、住宅
いえ,いえ,,"1,2",不是
イエス,yes,,2,是、同意
いえで,家出,,"0,3",離家出走
いか,以下,,1,以下、下面、後面
いがい,以外,,1,以外、除…之外
いがい,意外,,0,意外、想不到
いかが,如何,,2,如何、是否合適
いがく,医学,,1,醫學
いかす,生かす,,2,使…活著、留活命
いかに,いかに,,2,如何、怎樣、無論怎樣…也
いかにも,いかにも,,2,非常、的確、好像
いかり,怒り,,0,憤怒
いき,息,,1,呼吸、氣息
いき,粋,,0,漂亮、風流
いぎ,意義,,1,意義
いぎ,異議,,1,不同意見
いき//ゆき,行,,2,去、往、開往…
いきいき,生き生き,,3,生氣勃勃
いきおい,勢い,,3,氣勢、力量、趨勢
いきがい,生甲斐,,"0,3",生存的意義
いきごむ,意気込む,,3,幹勁
いきちがい,行き違い,,0,走岔、(聯繫等)弄錯
いきなり,行き成り,,0,突然、冷不防
いきもの,生物,,"2,3",有生命力的東西
いきる,生きる,,2,生存、謀生、有效、活
いく//ゆく,行く,,0,去
いく〜,幾〜,,1,多少、許多
いくじ,育児,,1,育兒
いくせい,育成,,0,培養、培育
いくた,幾多,,1,幾多、許多
いくつ,幾つ,,1,多少、幾個、幾歲
いくぶん,幾分,,0,某種程度
いくら,幾ら,,1,多少、多少錢、不論多少
いくら〜ても,いくら〜ても,,1--1,即使多麼…也、不論…也…
いけ,池,,2,池子
いけない,いけない,,0,不好、不可以
いけばな,生花,,2,插花、生花
いける,生ける・活ける「花を〜」,,2,使活下去
いけん,意見,,1,意見、規勸
いけん,異見,,0,不同見解
いご,以後,,1,…以後、今後
いこう,以降,,1,以後
いこう,移行,,0,過渡、移轉
いこう,意向,,0,意向、志向、打算
イコール,equal,,2,相等、等於、等號
いざ,いざ,感動詞,1,喂、哎、嘿
いさましい,勇ましい,,4,勇敢的、活躍的
いし,石,,2,石頭、礦石、寶石
いし,意思・意志,,1,意志、意思
いし,医師,,1,醫生
いじ,維持,,1,維持
いじ,意地,,2,意地
いしき,意識,,1,意識
いじめる,苛める,,4,欺負、捉弄
いしゃ,医者,,0,醫生
いじゅう,移住,,0,移居
いしょう,衣装,,1,戲裝、服裝
いじょう,以上,,1,以上
いじょう,異常,,0,異常
いしょくじゅ,衣食住,,"1,2,3",衣食住
いじる,弄る,,3,擺弄
いじわる,意地悪,,"2,3",心眼壞
いす,椅子,,0,椅子
いずみ,泉,,0,泉水
いずれ,何れ,,0,哪個
いせい,異性,,"0,1",異性
いせき,遺跡,,0,遺跡
いぜん,以前,,1,以前
いぜん,依然,,0,依然
いそがしい,忙しい,,4,繁忙的、忙碌的
いそぐ,急ぐ,,2,急速
いぞん,依存,,0,依存
いた,板,,0,木板
いたい,痛い,,2,疼、疼痛
いだい,偉大,,0,偉大
いたく,委託,,0,委託
いだく,抱く,,2,抱、懐抱
いたす,致す,,2,〔謙讓語〕致、達
いたずら,悪戯,,0,惡作劇
いただき,頂「山の〜」,,0,頂部
いただきます。,頂きます。,挨拶語,5,我要吃了
いただく,頂く,,4,〔謙讓語〕領、戴、吃、喝
いたって,至って,,"0,2",很、非常
いたみ,痛み,,3,損傷、腐敗
いたむ,痛む,,2,疼痛
いためる,炒める,,3,炒
いためる,傷める,,3,損傷
いたる,至る,,2,至、到達
いたわる,労わる,,3,安慰、憐憫
いち,一,,2,一
いち,〜一「日本一」,,,第一、最好
いち,市,,1,市場
いち,位置,,2,位置、地位、位於
いちいち,一々,,2,一個一個地、逐一
いちおう,一応,,0,姑且、一併
いちがいに,一概に,,2,一概
いちじ,一時,,2,一段時間
いちじるしい,著しい,,5,明顯的
いちだんと,一段と,,0,更加
いちど,一度,,3,一回、一次
いちどう,一同,,3,全體
いちどに,一度に,,3,同時
いちにち,一日,,4,一日、終日
いちば,市場,,1,市場
いちばん,一番,名詞//副詞,2//0,最初、最好//最、頂
いちぶ,一部,,2,一部、一份
いちぶぶん,一部分,,3,一部分
いちべつ,一別//一瞥,,0,一別//看一眼
いちめん,一面,,0,全體、一面、片面
いちもく,一目,,"0,2",一目
いちよう,一様,,0,一樣
いちりつ,一律,,0,一律
いちりゅう,一流,,0,一流
いちれん,一連,,0,一串
いつ,何時,,1,何時、什麼時候
いっか,一家,,1,全家
いつか,五日,,0,五日、五號
いつか,何時か,,1,以前、早晚、不知不覺
いっかつ,一括,,0,包括
いっき,一気,,1,一口氣
いっきょに,一挙に,,1,一舉
いっけん,一見,,0,看一次
いっさい,一切,,1,一切
いっさくじつ,一昨日,,0,前天
いっさくねん,一昨年,,0,前年
いっしゅ,一種,,1,一種
いっしゅん,一瞬,,0,瞬間
いっしょ,一緒,,0,一同、一起
いっしょう,一生,,0,一生
いっしょうけんめい,一生懸命,,5,非常努力、拼命
いっしん,一心,,3,齊心
いっせい,一斉（に）,,0,一齊
いっそ,いっそ,,0,寧可、倒不如
いっそう,一層,,0,更、越發
いったい,一体,,0,一體、究竟、到底
いったい,一帯,,0,一帶
いったん,一旦,,0,一旦、既然
いっち,一致,,0,一致
いつつ,五つ,,2,五個、五歲
いってい,一定,,0,統一規定、固定
いっていらっしゃい。,行っていらっしゃい。,挨拶語,"0,7",慢走
いってまいります。,行って参ります。,挨拶語,7,我走了
いつでも,何時でも,,1,隨時、總是
いってらっしゃい。,行ってらっしゃい。,挨拶語,6,慢走
いつのまにか,いつのまにか,,1,不知什麼時候
いっぱい,一杯,副詞,0,滿、全部
いっぱん,一般（に）,,0,一般、普通
いっぺん,一変,,0,完全改變
いっぽう,一方,,3,一方面、越來越
いつまでも,何時までも,,1,永遠、始終
いつも,何時も,,1,總是、往常、經常、平時
いてん,移転,,0,遷移、轉讓
いと,糸,,1,線、絲
いと,意図,,1,企圖
いど,井戸,,1,井
いど,緯度,,1,緯度
いどう,移動,,0,移動、巡迴
いどう,異動,,0,調動
いとこ,従兄弟、従姉妹,,"2,1",表兄弟、堂兄弟
いとなむ,営む,,3,經營
いどむ,挑む,,2,挑戰、挑逗
いない,以内,,1,以內
いなか,田舎,,0,鄉下、故鄉
いなびかり,稲光,,3,閃電
いぬ,犬,,2,狗
いね,稲,,1,水稻
いねむり,居眠り,,"2,3,4",打瞌睡
いのち,命,,1,生命、命脈
いのり,祈り,,3,祈禱
いのる,祈る,,2,祈禱、祝福
いばる,威張る,,2,驕傲、逞威風
いはん,違反,,0,違反
いびき,鼾,,3,鼾聲
いふく,衣服,,1,衣服
いま,今,,1,現在、馬上
いま,居間,,2,起居室
いまさら,今更,,"0,1",事到如今、現在才
いまだ,未だ,,"0,1",尚未、迄今
いまに,今に,,1,即將
いまにも,今にも,,1,馬上、就要
いみ,意味,,1,意思、含義、價值
いみん,移民,,0,移民
イメージ,image,,"1,2",印象、像、圖像
いもうと（さん）,妹（さん）,,"0,4",妹妹、小姨
いや,嫌,,2,討厭、不願意
いやいや,嫌々,,0,不、無奈
いやがる,嫌がる,,3,嫌、討厭
いやしい,卑しい,,"0,3",貪婪、卑鄙
いやに,いやに,,2,過於
いやらしい,嫌らしい,,4,令人不快、下流
いよいよ,愈々,,2,越發、終於
いよく,意欲,,1,意願
いらい,依頼,,0,委託、依靠
いらい,以来,,1,以來、今後
いらいら,いらいら,,1,著急
いらっしゃい（ませ）。,いらっしゃい（ませ）。,挨拶語,4(6),請來、歡迎
いらっしゃる,いらっしゃる,,4,在、來、去
いりぐち,入り口,,0,入口、門口
いりょう,医療,,"0,1",醫療、治療
いりょう,衣料,,1,布料
いりょく,威力,,1,威力
いる,居る,,0,有、居住
いる,要る,,0,要、需要
いる,煎る、炒る,,1,炒、煎
いるい,衣類,,1,衣服
いれもの,入物,,0,容器
いれる,入れる,,0,容納、採用、娤、放
いろ,色,,2,色、色彩
いろいろ,色々,,0,各式各樣
いろん,異論,,0,異論
いわ,岩,,2,岩石
いわい,祝,,2,祝賀、贈品
いわう,祝う,,2,祝賀、慶祝
いわば,言わば,,"0,1,2",說起來
いわゆる,所謂,,"2,3",所謂
いん,〜員,,1,人員、成員
いんかん,印鑑,,"0,3",印鑑、圖章
インキ,inkt,オランダ語,"0,1",墨水
いんき,陰気,,0,陰暗、陰鬱、憂鬱
いんきょ,隠居,,0,退休的老年人、卸去所掌管的家務的人
インク,inkt,オランダ語,"0,1",墨水
いんさつ,印刷,,0,印刷
いんしょう,印象,,0,印象
インターチェンジ,interchange,,5,高速公路出入口
インターナショナル,international,,5,國際(的)
インターフォン,interphone,,3,內線電話、內部通訊裝置
いんたい,引退,,0,退休
インタビュー,interview,,"1,3",採訪、面談
インテリ,intelligentsiya,ロシア語,0,知識份子、文化人
インフォーメーション,information,,4,情報、詢問處
インフォメーション,information,,4,情報、詢問處
インフレ,inflation,,0,通貨膨脹
いんよう,引用,,0,引用
いんりょく,引力,,1,引力
ウイスキー,whisky,,"2,3,4",威士忌
ウイルス,virus,,2,病毒
ウーマン,woman,,1,女人、婦女
ウール,wool,,1,羊毛
うえ,上,,0,上、上面
ウエートレス//ウエイトレス,waitress,,2,女服務員
うえき,植木,,0,盆栽、庭院的樹木
うえる,植える,,0,種、植
うえる,飢える,,2,飢餓、渴求
うお,魚,,0,魚
うがい,嗽,,0,漱口
うかがう,伺う「お宅に伺う」,,0,拜訪
うかがう,伺う「話を伺う」,,0,請教、打聽
うかぶ,浮かぶ,,0,漂浮、呈現、湧上
うかべる,浮かべる,,0,使〜浮起、想起
うかる,受かる,,2,考上
うく,浮く,,0,浮、漂、不牢固
うけいれ,受け入れ,,0,接受、接納、收入、答應、承諾
うけいれる,受け入れる,,"0,4",接受、採納、收容
うけたまわる,承る,,"0,5",聽取、接受、聽說
うけつぐ,受け継ぐ,,"0,3",繼承、接替
うけつけ,受付,,0,接受、接收、受理
うけつける,受け付ける,,"0,4",接受、受理
うけとめる,受け止める,,"0,4",接住、阻止
うけとり,受け取り,,0,收領
うけとる,受け取る,,0,收、接、領、理解、領會
うけみ,受身,,"2,3",被動、守勢
うけもち,受け持ち,,0,擔任、擔當
うけもつ,受け持つ,,0,擔任、擔當
うける,受ける,,2,收、接受、受到、認同
うごかす,動かす,,3,移動、搖動
うごき,動き,,3,動、活動、移動
うごく,動く,,2,動、移動、搖動
うさぎ,兎,,0,兔子
うし,牛,,0,牛
うしなう,失う,,0,失去、失掉
うしろ,後ろ,,0,後、後面、後方
うず,渦,,1,漩渦、渦流
うすい,薄い,,0,薄的、淺的
うすぐらい,薄暗い,,0,微暗
うすめる,薄める,,0,稀釋
うずめる,埋める,,0,堆滿、佔滿、填補
うそ,嘘,,1,謊言、假話
うそつき,嘘つき,,2,說謊的人
うた,歌,,2,歌、歌曲
うたう,歌う,,0,歌頌、頌揚、唱、鳴
うたがう,疑う,,0,懷疑、疑惑
うたたね,転寝,,0,假睡、打瞌睡
うち,家「わたしのうち」,,0,家庭、房子、住宅
うち,うち「この二つのうち」「三つの〜」,,0,〜之中
うちあける,打ち明ける,,"0,4",說實話、說心裡話
うちあわせ,打ち合わせ,,0,商量、磋商
うちあわせる,打ち合わせる,,"0,5",商量、商談
うちきる,打ち切る,,"0,3",停止、截止、中止
うちけし,打ち消し,,0,否定、取消
うちけす,打ち消す,,"0,3",否認、否定
うちこむ,打ち込む,,"0,3",打進、投進
うちゅう,宇宙,,1,宇宙
うちわ,団扇,,2,相撲的裁判扇
うちわけ,内訳,,0,細目、明細
うつ,打つ,,1,打、碰撞
うつ,討つ、撃つ,,1,討伐、斬、射撃
うっかり,うっかり,,3,不經神、不留神
うつくしい,美しい,,4,美麗、好看
うつし,写し,,3,抄寫、攝影
うつす,写す,,2,抄、摹寫、照
うつす,移す,,2,移、遷、挪、搬
うつす,映す,,2,抄、映
うったえ,訴え,,"0,3",申訴
うったえる,訴える,,"0,4",控告
うっとうしい,鬱陶しい,,5,沉悶
うつむく,俯く,,"0,3",俯臥
うつる,映る,,2,映、照
うつる,移る,,2,遷移、變動
うつる,写る,,2,透過來、照相
うつろ,空ろ,,0,空、空虚
うつわ,器,,0,器
うで,腕,,2,胳膊、手腕
うでまえ,腕前,,"0,3",能力
うてん,雨天,,1,雨天
うどん,饂飩,,0,麵條、烏龍麺
うながす,促す,,3,催促
うなずく,頷く,,"0,3",點頭
うなる,唸る,,0,哼哼
うぬぼれ,自惚れ,,0,自滿自大
うばう,奪う,,2,搶奪、除去
うま,馬,,2,馬
うまい,美味い、旨い//上手い、巧い,,2,好吃的//巧妙、高明、方便
うまる,埋まる,,0,埋
うまれ,生まれ,,0,出生
うまれつき,生まれつき,,0,天生
うまれる,生まれる,,0,產生、出現
うみ,海,,1,海、海洋
うむ,有無,,1,有沒有
うむ,産む,,0,新生
うめ,梅,,0,梅子
うめこむ,埋め込む,,3,內蔵
うめぼし,梅干,,0,鹹梅
うめる,埋める,,0,埋
うやまう,敬う,,3,尊敬
うら,裏,,2,裡面、背面
うらがえし,裏返し,,3,表裡相反
うらがえす,裏返す,,3,翻過來
うらぎる,裏切る,,3,背叛
うらぐち,裏口,,0,後門
うらなう,占う,,3,占卜
うらみ,恨み,,3,恨
うらむ,恨む,,2,埋怨
うらやましい,羨ましい,,"0,4",羨幕
うらやむ,羨む,,3,羨慕
うりあげ,売り上げ,,0,銷售額、銷售量
うりきれ,売り切れ,,0,賣完
うりきれる,売り切れる,,4,賣完
うりだし,売り出し,,0,開始發賣、拍賣
うりだす,売り出す,,3,開始出賣、拍賣、降價賣
うりば,売り場,,0,出售處、售票處、銷售處
うる,売る,,0,賣、售、販賣
うるおう,潤う,,3,滋潤
うるさい,煩い,,3,吵、麻煩的
うれしい,嬉しい,,3,開心、歡喜的、高興的
うれゆき,売れ行き,,0,銷售狀況
うれる,売れる,,0,暢銷、有名
うろうろ,うろうろ,,1,徘徊、徬徨
うわ,上〜,,0,上面、表面、高
うわき,浮気,,0,輕浮
うわぎ,上着,,0,外衣、上衣
うわさ,噂,,0,傳言
うわまわる,上回る,,4,超過
うわる,植わる,,0,栽着
うん,うん,感動詞,1,是、嗯
うん,運,,1,運、運氣、命運
うんえい,運営,,0,經營
うんが,運河,,1,運河
うんざり,うんざり,,3,厭膩
うんそう,運送,,0,運送
うんちん,運賃,,1,運費
うんてん（する）,運転（する）,,0,運轉、駕駛、開車
うんてんしゅ,運転手,,3,駕駛員
うんと,うんと,副詞,1,多、有的是、非常
うんどう（する）,運動（する）,,0,運動、活動
うんぬん,云々,,0,等等、議論、説三道四
うんぱん,運搬,,0,搬運
うんめい,運命,,1,命運
うんゆ,運輸,,1,運輸
うんよう,運用,,0,運用
え,絵,,1,圖畫、畫
え,柄,,0,柄
え（っ）,え（っ）,感動詞,0,嗯
エアメール,airmail,,3,航空郵件
えい,〜営,,,經營
えいえん,永遠,,0,永遠
えいが,映画,,"0,1",電影
えいがかん,映画館,,3,電影院
えいきゅう,永久,,2,永久
えいきょう,影響,,0,影響
えいぎょう,営業,,0,營業
えいご,英語,,0,英語
えいじ,英字,,0,英文
えいしゃ,映写,,0,放映
えいせい,衛生,,0,衛生
えいせい,衛星,,0,衛星
えいぞう,映像,,0,映像
えいぶん,英文,,0,英文
えいゆう,英雄,,0,英雄
えいよう,栄養,,0,營養
えいわ,英和,,0,英日
ええ,ええ,感動詞,1,嗯、對
ええと,ええと,感動詞,0,唉呀（一時想不起來的聲音）
えがお,笑顔,,1,笑臉
えがく,描く,,2,畫
えき,駅,,1,車站
えき,液,,1,液
えきたい,液体,,0,液體
えさ,餌,,2,飼料
エスカレーター,escalator,,4,電動手扶梯、自動樓梯
えだ,枝,,0,枝、樹枝
エチケット,étiquette,フランス語,"1,3",禮儀、規矩
えつらん,閲覧,,0,閱覽
エネルギー,Energie,ドイツ語,"2,3",能源、精力
えのぐ,絵具,,0,顏料
エプロン,apron,,1,圍裙
えもの,獲物,,"0,3",順手的武器
えらい,偉い,,2,偉大的、地位高、嚴重
えらぶ,選ぶ,,2,選擇
えり,襟,,2,領子
える//うる,得る,,1,得到
エレガント,elegant,,1,優美的
エレベーター,elevator,,3,電梯
えん,〜円,,,日元、圓
えん,円,,1,圓周、日元
えん,〜園,,,園
えん,縁,,1,緣
えんかい,宴会,,0,宴會
えんかつ,円滑,,0,順利圓滿
えんがわ,縁側,,0,簷下的走廊
えんがん,沿岸,,0,沿岸
えんき,延期,,0,延期
えんぎ,演技,,1,演技
えんきょく,婉曲,,0,婉轉
えんげい,園芸,,0,園藝
えんげき,演劇,,0,戲劇
エンジニア,engineer,,3,工程師、技師
えんしゅう,演習,,0,實地演習、課堂討論
えんしゅう,円周,,0,圓周
えんしゅつ,演出,,0,演出
えんじょ,援助,,1,援助
えんじる．ずる,演じる．ずる,,0,扮演
エンジン,engine,,1,引擎、發動機
えんぜつ,演説,,0,演說
えんせん,沿線,,0,沿線
えんそう,演奏,,0,演奏
えんそく,遠足,,0,遠足
えんだん,縁談,,0,提親
えんちょう,延長,,0,延長
えんとつ,煙突,,0,煙囪
えんぴつ,鉛筆,,0,鉛筆
